node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
347,58845,22715,10086,22279,8033,20288,6873,19651,5459,19361,8989,17199,5354,13767,7125,19236,10270,7015,14871,6450,7644,7517,4284,6825,8536,12489,9913,11908,8547,9698,7605,62116,5315,6694,5661,3173,1397,5908,7684,3561,7619,5077,14255,5026,2659,6184,5266,546427
348,47477,31354,12601,21640,13154,17726,6780,15865,9608,21538,9301,13150,8856,8550,9077,17116,9922,29289,6436,11020,7495,9518,7675,11106,6319,10046,12358,12719,9518,9780,11497,53342,7818,7350,7302,3436,2822,5477,8283,3155,4939,6308,31805,2848,3256,8523,4480,589635
349,49603,34484,9760,28062,4717,19343,8890,20058,7404,16256,5274,5614,6461,8896,5042,12382,4798,41581,4833,6903,4933,4906,10199,6952,5498,13774,6580,13018,8749,13053,9058,45701,1490,7299,4091,3953,5874,5127,2301,2547,8263,6341,75853,5587,5053,5029,5536,587126
350,47116,62424,45027,15094,27750,13498,24046,13576,24416,7527,8219,5661,9669,16542,9120,13020,16081,11223,36690,9674,8567,9995,13205,8984,14390,8184,13728,12246,10556,12983,20686,9076,43491,10189,3107,11915,12762,8134,7468,7208,19851,6623,60411,8810,13150,11007,10882,793981
351,62656,32632,40047,18862,27959,11639,20935,13160,7657,10123,6548,5982,14855,5722,12344,17158,20202,13736,39881,7193,15917,11360,10741,10521,10192,9081,12885,8903,28931,9467,22946,4595,39076,4607,7337,7448,10107,9246,5683,11422,10303,11572,40743,8241,18172,9315,6353,744455
352,135144,56678,52621,17384,34729,17530,16461,13362,14501,47689,17026,47472,21538,66040,15272,97875,30325,77243,601897,93660,20296,42275,25817,26580,50480,21219,30775,49151,31604,36110,17078,39557,50479,14923,13244,14418,17525,14065,16224,12632,27693,26803,71470,15065,22792,19320,14566,2216608
353,55563,42827,58425,13605,18276,11268,12293,14052,18347,18393,23054,21573,12340,30789,17785,30772,19277,35816,37644,52667,13052,26656,10247,20031,18992,39570,13959,33998,16512,18768,26355,18133,52168,7916,14929,7721,10183,11502,11144,9852,22141,11907,34432,13734,13950,20773,14030,1057421
354,44864,52060,17403,15472,8628,16399,8688,8241,13667,18190,7694,7947,15066,9959,14089,6829,11712,46095,42245,63060,14665,19704,12336,31612,13993,19760,8831,15715,11014,52265,13616,24076,43553,11236,10630,12175,9599,16845,12192,10394,12485,15111,75038,9448,13347,25158,16566,959672
355,37093,35151,15194,19642,12839,11631,17874,10868,9717,50309,14950,45610,17238,37173,11977,32286,8417,40795,71968,66029,14057,35683,15613,30266,21998,19879,30501,38579,27608,29800,34776,46436,47868,12888,15399,12714,9946,22917,9969,9119,16485,14069,47346,9113,11622,11181,7961,1170554
356,32442,57595,6917,48694,28985,35349,11071,23109,10823,24830,9528,26090,9847,28963,8074,33013,18708,81863,37296,71786,20492,25930,16923,19262,12563,27269,28195,32312,27393,34806,14325,30363,54403,11186,11988,10870,11869,9373,14671,11135,11848,16143,68089,11609,14070,16816,12652,1181538
357,28788,37339,17856,12470,9225,13274,13018,15155,14117,17355,8129,16627,5935,12135,7338,62664,16601,42592,29503,71064,25363,46784,16687,41012,18898,34377,44145,43377,25842,46520,21453,33019,32480,11425,6598,9095,7850,9012,10472,6686,10081,11584,86343,8914,8627,10062,9885,1087776
358,31694,24550,12766,20111,6263,11073,10139,15100,4973,17681,9521,14632,19099,48764,16616,33829,18411,37775,40840,65787,53658,32142,20822,25811,13236,31048,40975,34931,25876,24038,22690,29746,48941,10003,6279,7715,6043,6168,7817,6056,5970,7889,38281,4981,8209,7929,7515,994393
359,39420,19863,23112,14826,27619,9069,22803,10096,24020,12074,34959,25502,26290,24903,11374,19993,39896,45228,36844,31314,26058,48904,38805,24570,41573,41786,34379,38101,36152,26893,32053,40859,20002,21535,7591,9507,8406,8725,13631,7838,8494,15767,47695,8478,7394,8567,17768,1140736
360,33109,24396,13995,9153,17788,5480,14427,16668,25875,15224,25212,11439,10857,13587,25917,14601,21533,34260,55944,13209,36642,17138,36692,27007,28750,56040,29067,33641,25524,26290,49532,15939,27855,7622,8651,9843,7837,9761,11853,7985,5524,7590,46654,9353,11190,8472,11607,976733
361,60709,22733,45007,11165,30039,11833,13185,28711,19708,24178,11136,28255,10523,22319,18634,33349,20098,34186,28365,24072,27323,22328,34832,21398,35806,22446,25603,26515,26613,19686,27347,28003,15176,6562,6797,11599,6135,3461,3753,4739,5185,9513,95347,4253,6305,9251,9494,1013675
362,30062,23354,8674,21030,13888,10339,8468,14407,8361,10624,16020,14857,12213,11343,24214,10455,15790,10915,22331,14810,34025,12778,10906,14734,11091,11660,6622,15394,12053,20235,12184,27560,39555,11506,25987,16162,15424,11046,17286,15965,11420,14460,32607,15941,15568,17915,12373,764612
363,19058,26080,13951,9914,9735,11450,7437,14842,10481,12089,12691,8295,20271,10445,14288,13655,23172,11434,41369,11911,13455,12926,9367,12381,3990,12829,7878,13307,8041,9559,8014,25032,19799,8586,9032,7879,11196,11876,7519,10563,7812,14667,26998,12120,14296,7230,7077,615997
